"Part";"Value";"Device";"Package";"Description";"025";
"C1";"1uF";"CAPACITOR-0402";"0402-CAP";"";"";
"C2";"1uF";"CAPACITOR-0402";"0402-CAP";"";"";
"C3";"10uF/0603";"CAPACITOR-0603";"0603-CAP";"";"";
"C4";"0.1uF";"CAPACITOR-0402";"0402-CAP";"";"";
"C5";"0.1uF";"CAPACITOR-0402";"0402-CAP";"";"";
"C6";"10nF/25V";"CAPACITOR-0402";"0402-CAP";"";"";
"H1";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";
"H2";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";
"J2";"M03";"M03";"1X03";"";"";
"J3";"M07-BOSCH";"M07-BOSCH";"1X07-SENSOR-SPI";"Header 7";"";
"LOGO2";"OSHW-LOGOBOTTOM";"OSHW-LOGOBOTTOM";"OSHW-LOGO-M-BOTTOM";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";
"Q1";"";"MOSFET-N-2N7002P";"SOT23";"2N7002P";"";
"Q3";"";"MOSFET-N-2N7002P";"SOT23";"2N7002P";"";
"Q4";"";"MOSFET-N-2N7002P";"SOT23";"2N7002P";"";
"R1";"4.7K";"RESISTOR-0402";"0402-RES";"";"";
"R2";"4.7K";"RESISTOR-0402";"0402-RES";"";"";
"R3";"4.7K";"RESISTOR-0402";"0402-RES";"";"";
"R4";"4.7K";"RESISTOR-0402";"0402-RES";"";"";
"R5";"4.7K";"RESISTOR-0402";"0402-RES";"";"";
"R6";"4.7K";"RESISTOR-0402";"0402-RES";"";"";
"R7";"4.7K";"RESISTOR-0402";"0402-RES";"";"";
"R8";"100K";"RESISTOR-0402";"0402-RES";"";"";
"U$1";"SENSOR-ST";"SENSOR-ST";"SENSOR-ST";"";"";
"U$8";"BREADBOARD-830";"BREADBOARD-830";"BREADBOARD-830";"";"";
"U1";"L3GD20H";"L3GD20H";"LGA16";"L3GD20H";"";
"U2";"MIC5365";"MIC5365";"SOT23-LDO";"";"";
"U3";"EXPLORE-LABS-LOGO-2-0.25";"EXPLORE-LABS-LOGO-2-0.25";"EXLABS_LOGO_0.25";"Explore Labs Logo";"0.25";
