"Qty";"Value";"Device";"Package";"Parts";"Description";"025";
"3";"";"MOSFET-N-2N7002P";"SOT23";"Q1, Q3, Q4";"2N7002P";"";
"2";"0.1uF";"CAPACITOR-0402";"0402-CAP";"C4, C5";"";"";
"1";"100K";"RESISTOR-0402";"0402-RES";"R8";"";"";
"1";"10nF/25V";"CAPACITOR-0402";"0402-CAP";"C6";"";"";
"1";"10uF/0603";"CAPACITOR-0603";"0603-CAP";"C3";"";"";
"2";"1uF";"CAPACITOR-0402";"0402-CAP";"C1, C2";"";"";
"7";"4.7K";"RESISTOR-0402";"0402-RES";"R1, R2, R3, R4, R5, R6, R7";"";"";
"1";"BREADBOARD-830";"BREADBOARD-830";"BREADBOARD-830";"U$8";"";"";
"1";"EXPLORE-LABS-LOGO-2-0.25";"EXPLORE-LABS-LOGO-2-0.25";"EXLABS_LOGO_0.25";"U3";"Explore Labs Logo";"0.25";
"1";"L3GD20H";"L3GD20H";"LGA16";"U1";"L3GD20H";"";
"1";"M03";"M03";"1X03";"J2";"";"";
"1";"M07-BOSCH";"M07-BOSCH";"1X07-SENSOR-SPI";"J3";"Header 7";"";
"1";"MIC5365";"MIC5365";"SOT23-LDO";"U2";"";"";
"1";"OSHW-LOGOBOTTOM";"OSHW-LOGOBOTTOM";"OSHW-LOGO-M-BOTTOM";"LOGO2";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";
"1";"SENSOR-ST";"SENSOR-ST";"SENSOR-ST";"U$1";"";"";
"2";"STAND-OFF";"STAND-OFF";"STAND-OFF";"H1, H2";"#4 Stand Off";"";
